timestamp,open,high,low,close,volume,timeframe,source,source_type,is_percentage,lookahead_safe
2025-05-02 00:00:00+00:00,53.9,54.152,53.856,54.082,241.856,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-02 04:00:00+00:00,54.082,54.448,53.934,54.431,184.262,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-02 08:00:00+00:00,54.432,54.468,54.154,54.248,157.877,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-02 12:00:00+00:00,54.246,54.4,54.082,54.378,194.647,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-02 16:00:00+00:00,54.375,54.49,54.055,54.429,161.697,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-02 20:00:00+00:00,54.426,54.475,54.259,54.315,90.29,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-03 00:00:00+00:00,54.315,54.411,54.075,54.099,125.084,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-03 04:00:00+00:00,54.099,54.369,54.05,54.322,75.698,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-03 08:00:00+00:00,54.322,54.446,54.208,54.343,143.102,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-03 12:00:00+00:00,54.348,54.356,54.054,54.162,161.003,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-03 16:00:00+00:00,54.163,54.628,54.158,54.344,258.56,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-03 20:00:00+00:00,54.331,54.431,54.16,54.206,76.644,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-04 00:00:00+00:00,54.205,54.307,54.075,54.221,120.255,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-04 04:00:00+00:00,54.221,54.368,54.103,54.221,90.784,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-04 08:00:00+00:00,54.216,54.477,54.13,54.275,209.921,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-04 12:00:00+00:00,54.276,54.528,54.238,54.278,169.212,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-04 16:00:00+00:00,54.277,54.585,54.221,54.568,148.161,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-04 20:00:00+00:00,54.569,54.641,54.336,54.336,151.185,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-05 00:00:00+00:00,54.335,54.514,54.2,54.291,188.5,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-05 04:00:00+00:00,54.29,54.301,53.816,53.9,335.532,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-05 08:00:00+00:00,53.903,54.238,53.653,54.197,243.276,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-05 12:00:00+00:00,54.198,54.395,53.97,54.203,214.878,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-05 16:00:00+00:00,54.203,54.257,53.962,54.031,144.46,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-05 20:00:00+00:00,54.025,54.444,54.018,54.414,159.728,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-06 00:00:00+00:00,54.424,54.732,54.312,54.569,354.465,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
